id,title_s,title_l,date,status,PI,co_PIs,institution,institution_full,desc,theme,systems,link,latitude,longitude,geometry,type,state
1,Transdisciplinary Research in Water Sustainability,Transdisciplinary Research in Water Sustainability: WhatÇè__s in it for an Engaged Researcher-Stakeholder Community?,2018,completed,"Ferguson, Laura","Chan, Samuel, Santelmann, Mary V., Tilt, Bryan",OSU,Oregon State University,,environment,,https://ir.library.oregonstate.edu/concern/articles/1n79h950z?locale=en,44.882,-123.023,TRUE,research,oregon
2,Drinking Water Access through a Transdisciplinary Lens,Drinking Water Access through a Transdisciplinary Lens,2020,completed,"Davis, Kari R.",,OSU,Oregon State University,,"law, safety, health",,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/t148fp84t?locale=en,44.7928,-121.2815,TRUE,research,oregon
3,(In)visible women: Representation and Conceptualization of Gender in Water Governance and Management,(In)visible women: Representation and Conceptualization of Gender in Water Governance and Management,2019,completed,"Best, Jaclyn P.",,OSU,Oregon State University,,law,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/n870zz023?locale=en,44.5704,-121.2788,TRUE,research,oregon
4,"Low Impact Development in the Ash Creek Watershed, Oregon","Low Impact Development in the Ash Creek Watershed, Oregon : Feasibility Study and Implementation Tool Design",2018,completed,"Chalmers, Douglas R.",,OSU,Oregon State University,,"health, environment",,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/44558k528?locale=en,44.8908,-123.2607,TRUE,research,oregon
5,"A Hydrogeologic Framework for Understanding Watershed-Scale Surface Water and Groundwater Interactions in Western Oregon, USA","A Hydrogeologic Framework for Understanding Watershed-Scale Surface Water and Groundwater Interactions in Western Oregon, USA",2020,completed,"Hall, Jesse L.",,OSU,Oregon State University,,"health, environment",,https://ir.library.oregonstate.edu/catalog?utf8=%E2%9C%93&locale=en&range%5Bdate_facet_yearly_ssim%5D%5Bbegin%5D=2018&range%5Bdate_facet_yearly_ssim%5D%5Bend%5D=2021&search_field=all_fields&q=oregon+water&range%5Bdate_facet_yearly_ssim%5D%5Bbegin%5D=2019&range%5Bdate_facet_yearly_ssim%5D%5Bend%5D=2021&commit=Limit,44.5592,-123.2829,TRUE,research,oregon
6,The effects of changing climate on estuarine water levels,The effects of changing climate on estuarine water levels: a United States Pacific Northwest case study ,2019,completed,"Parker, Kai","Hill, D., GarcÇè__a-Medina, G., and Beamer, J",OSU,Oregon State University,,environment,,https://ir.library.oregonstate.edu/concern/articles/6m311w14s?locale=en,45.5026,-123.9102,TRUE,research,oregon
7,Reconciling Working Landscapes on State and Federal Lands with Endangered Species Act Requirements,Reconciling Working Landscapes on State and Federal Lands with Endangered Species Act Requirements: Emerging Governance Surrounding Beaver-Related Watershed Restoration in Oregon ,2019,completed,"Pike-Urlacher, Zach R. ",,OSU,Oregon State University,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/gm80j185t?locale=en,45.7048,-123.4985,TRUE,research,oregon
8,"Measurement of Gas Exchange, Stream Metabolism, and Carbon Fluxes of Headwater Streams","Measurement of Gas Exchange, Stream Metabolism, and Carbon Fluxes of Headwater Streams",2019,completed,"Pennington, Robert",,OSU,Oregon State University,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/kh04dw66q?locale=en,43.8736,-122.7633,TRUE,research,oregon
9,"Spatial and Temporal Variability of Heavy Metals (Lead, Copper, and Zinc) in Stormwater, Moss, and Street Dust in Portland, OR","Spatial and Temporal Variability of Heavy Metals (Lead, Copper, and Zinc) in Stormwater, Moss, and Street Dust in Portland, OR",2019,completed,"Bauer, Sophia O. A.",,OSU,Oregon State University,,"health, safety, environment",,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/sj139801w?locale=en,45.46,-122.616,TRUE,research,oregon
10,Understanding Institutional Barriers and Opportunities to Food-Water-Energy Nexus policy implementation in Oregon,Understanding Institutional Barriers and Opportunities to Food-Water-Energy Nexus policy implementation in Oregon,2019,completed,"Lavado Alvarado, Angela Patricia",,OSU,Oregon State University,,law,,https://ir.library.oregonstate.edu/concern/graduate_projects/tx31qq70s?locale=en,0,0,FALSE,research,oregon
